time,partida,jogador,status_
Criciúma,699353,240556,TITULAR
Criciúma,699353,158647,TITULAR
Criciúma,699353,198592,TITULAR
Criciúma,699353,214399,TITULAR
Criciúma,699353,292396,TITULAR
Criciúma,699353,87174,TITULAR
Criciúma,699353,211347,TITULAR
Criciúma,699353,131532,TITULAR
Criciúma,699353,285000,TITULAR
Criciúma,699353,198569,TITULAR
Criciúma,699353,227314,TITULAR
Criciúma,699353,149034,SUBSTITUTO
Criciúma,699353,121921,SUBSTITUTO
Criciúma,699353,228399,SUBSTITUTO
Criciúma,699353,156342,SUBSTITUTO
Criciúma,699353,343742,RESERVA
Criciúma,699353,318105,RESERVA
Criciúma,699353,358772,RESERVA
Criciúma,699353,381399,RESERVA
Criciúma,699353,338669,RESERVA
Criciúma,699353,315785,RESERVA
Criciúma,699353,275424,RESERVA
Juventude,699353,155156,TITULAR
Juventude,699353,228400,TITULAR
Juventude,699353,205451,TITULAR
Juventude,699353,304538,TITULAR
Juventude,699353,285280,TITULAR
Juventude,699353,252315,TITULAR
Juventude,699353,173351,TITULAR
Juventude,699353,36805,TITULAR
Juventude,699353,248584,TITULAR
Juventude,699353,199679,TITULAR
Juventude,699353,198580,TITULAR
Juventude,699353,163467,SUBSTITUTO
Juventude,699353,304363,SUBSTITUTO
Juventude,699353,304530,SUBSTITUTO
Juventude,699353,271407,SUBSTITUTO
Juventude,699353,379367,RESERVA
Juventude,699353,318130,RESERVA
Juventude,699353,349018,RESERVA
Juventude,699353,318151,RESERVA
Juventude,699353,359217,RESERVA
Juventude,699353,354799,RESERVA
Juventude,699353,312657,RESERVA
Juventude,699353,216842,RESERVA
Internacional,699356,184206,TITULAR
Internacional,699356,124066,TITULAR
Internacional,699356,254145,TITULAR
Internacional,699356,173588,TITULAR
Internacional,699356,242711,TITULAR
Internacional,699356,295006,TITULAR
Internacional,699356,213239,TITULAR
Internacional,699356,11632,TITULAR
Internacional,699356,289046,TITULAR
Internacional,699356,338953,TITULAR
Internacional,699356,288887,TITULAR
Internacional,699356,188485,SUBSTITUTO
Internacional,699356,76818,SUBSTITUTO
Internacional,699356,158918,SUBSTITUTO
Internacional,699356,361391,SUBSTITUTO
Internacional,699356,140271,RESERVA
Internacional,699356,361399,RESERVA
Internacional,699356,216371,RESERVA
Internacional,699356,290441,RESERVA
