id_partida,time,chute_gol,chute,gol,defesa,posse
699353,Criciúma,3,10,1,3,47.0
699353,Juventude,4,15,1,2,53.0
699356,Internacional,9,17,2,3,52.6
699356,Bahia,4,9,1,7,47.4
699355,Fluminense,11,26,2,6,69.1
699355,Red Bull Bragantino,8,16,2,9,30.9
699357,São Paulo,5,14,1,0,72.1
699357,Fortaleza,2,6,2,4,27.9
699350,Athletico-PR,9,20,4,0,61.9
699350,Cuiabá,0,1,0,5,38.1
699351,Atlético-GO,4,11,1,0,31.7
699351,Flamengo,2,15,2,3,68.3
699352,Corinthians,2,14,0,3,47.5
699352,Atlético-MG,3,8,0,2,52.5
699358,Vasco da Gama,3,15,2,1,47.3
699358,Grêmio,2,9,1,1,52.7
699354,Cruzeiro,5,15,3,1,56.3
699354,Botafogo,3,6,2,2,43.7
699359,Vitória,5,13,0,3,56.0
699359,Palmeiras,4,15,1,5,44.0
699361,Bahia,5,12,2,2,39.8
699361,Fluminense,3,9,1,3,60.2
699366,Grêmio,7,14,2,0,48.2
699366,Athletico-PR,0,4,0,5,51.8
699369,Red Bull Bragantino,5,17,2,2,40.3
699369,Vasco da Gama,3,13,1,3,59.7
699360,Atlético-MG,6,22,1,0,67.9
699360,Criciúma,1,5,1,5,32.1
699365,Fortaleza,3,14,1,4,39.1
699365,Cruzeiro,6,14,1,2,60.9
699367,Juventude,8,16,2,2,44.9
699367,Corinthians,2,17,0,6,55.1
699368,Palmeiras,3,18,0,1,63.5
699368,Internacional,2,5,1,3,36.5
699364,Flamengo,6,12,2,2,46.6
699364,São Paulo,3,10,1,4,53.4
699362,Botafogo,4,13,1,3,53.0
699362,Atlético-GO,3,12,0,3,47.0
699375,Fluminense,8,11,2,4,57.9
699375,Vasco da Gama,5,21,1,6,42.1
699376,Grêmio,4,7,1,3,57.0
699376,Cuiabá,3,14,0,3,43.0
699378,Red Bull Bragantino,3,10,1,4,35.2
699378,Corinthians,4,15,0,2,64.8
699372,Atlético-MG,4,9,3,2,56.0
699372,Cruzeiro,3,10,0,1,44.0
699370,Athletico-PR,3,13,1,3,45.6
699370,Internacional,4,20,0,2,54.4
699377,Palmeiras,1,12,0,3,48.5
699377,Flamengo,3,8,0,1,51.5
699379,Vitória,8,13,2,5,41.9
699379,Bahia,7,20,2,6,58.1
699371,Atlético-GO,1,9,0,4,34.6
699371,São Paulo,7,19,3,1,65.4
699373,Botafogo,6,13,5,0,55.6
699373,Juventude,1,12,1,1,44.4
699385,Vasco da Gama,5,21,0,6,57.5
699385,Criciúma,10,17,4,5,42.5
699383,Cuiabá,1,4,0,2,32.9
699383,Atlético-MG,5,12,3,1,67.1
699380,Bahia,4,14,1,2,60.2
699380,Grêmio,2,3,0,3,39.8
699389,Flamengo,0,15,0,1,60.0
699389,Botafogo,3,9,2,0,40.0
699381,Corinthians,7,17,3,2,30.7
699381,Fluminense,2,13,0,4,69.3
699382,Cruzeiro,6,15,3,3,54.1
699382,Vitória,3,8,1,3,45.9
699384,Fortaleza,5,22,1,2,44.2
699384,Red Bull Bragantino,4,10,1,4,55.8
699387,Juventude,5,15,1,6,55.2
699387,Athletico-PR,6,15,1,4,44.8
699386,Internacional,5,22,1,1,72.0
699386,Atlético-GO,2,4,1,4,28.0
699388,São Paulo,1,16,0,2,57.1
699388,Palmeiras,3,9,0,1,42.9
699395,Fluminense,5,11,2,5,43.0
699395,Atlético-MG,7,19,2,3,57.0
699398,Red Bull Bragantino,3,18,1,5,43.2
699398,Flamengo,6,19,1,2,56.8
699392,Corinthians,9,18,0,2,64.8
699392,Fortaleza,2,12,0,9,35.2
699390,Athletico-PR,7,26,1,2,56.4
699390,Vasco da Gama,1,7,0,6,43.6
699399,Vitória,2,6,1,3,33.2
699399,São Paulo,8,20,3,1,66.8
699391,Botafogo,5,16,1,2,55.2
699391,Bahia,4,10,2,4,44.8
699394,Cuiabá,1,9,0,4,45.1
699394,Palmeiras,6,15,2,1,54.9
699404,Flamengo,9,18,2,3,58.0
699404,Corinthians,3,13,0,8,42.0
699400,Atlético-GO,5,17,0,3,46.3
699400,Cruzeiro,5,12,1,5,53.7
699405,Fortaleza,4,10,1,4,42.5
699405,Botafogo,5,11,1,2,57.5
699407,Palmeiras,5,23,0,5,62.9
699407,Athletico-PR,6,11,2,5,37.1
699402,Bahia,3,8,1,5,49.5
699402,Red Bull Bragantino,5,15,0,2,50.5
699409,Vasco da Gama,8,17,2,4,56.9
699409,Vitória,5,13,1,6,43.1
699408,São Paulo,8,15,2,2,49.1
699408,Fluminense,2,7,1,6,50.9
699416,Grêmio,1,9,0,2,44.1
699416,Red Bull Bragantino,4,14,2,1,55.9
699419,Vitória,3,12,0,3,33.4
699419,Atlético-GO,5,12,2,3,66.6
699413,Cuiabá,3,8,0,1,36.3
699413,Internacional,3,9,1,3,63.7
699414,Fluminense,4,17,1,3,62.1
699414,Juventude,4,12,1,3,37.9
699411,Corinthians,7,16,0,1,52.7
699411,Botafogo,2,9,1,7,47.3
699410,Atlético-MG,4,21,1,1,63.8
699410,Bahia,2,9,1,3,36.2
699412,Criciúma,4,12,1,3,39.0
699412,Palmeiras,5,23,2,3,61.0
699418,Vasco da Gama,2,2,1,12,26.6
699418,Flamengo,18,30,6,1,73.4
699415,Fortaleza,4,11,1,2,52.3
699415,Athletico-PR,2,15,0,3,47.7
699417,São Paulo,4,11,2,3,56.1
699417,Cruzeiro,3,10,0,2,43.9
699397,Juventude,2,8,1,5,42.1
699397,Atlético-GO,5,22,0,1,57.9
699363,Cuiabá,0,11,0,4,54.0
699363,Vitória,4,13,0,0,46.0
699403,Criciúma,9,23,2,2,61.6
699403,Cuiabá,7,13,5,6,38.4
699421,Atlético-GO,7,22,2,1,72.8
699421,Corinthians,3,7,2,6,27.2
699427,Juventude,2,12,1,3,59.9
699427,Vitória,4,18,1,1,40.1
699423,Botafogo,6,19,1,0,43.8
699423,Fluminense,0,6,0,5,56.2
699425,Red Bull Bragantino,5,15,1,2,55.1
699425,Atlético-MG,4,10,2,4,44.9
699429,Cruzeiro,6,12,2,4,51.4
699429,Cuiabá,5,16,1,4,48.6
699420,Athletico-PR,7,23,3,3,57.4
699420,Criciúma,4,12,1,4,42.6
699424,Flamengo,6,16,2,4,41.6
699424,Grêmio,5,15,1,4,58.4
699426,Internacional,0,7,0,5,54.0
699426,São Paulo,4,9,0,0,46.0
699422,Bahia,3,12,1,6,54.1
699422,Fortaleza,6,21,0,2,45.9
699428,Palmeiras,6,28,2,2,57.0
699428,Vasco da Gama,2,9,0,4,43.0
699434,Red Bull Bragantino,2,6,2,5,35.8
699434,Juventude,6,14,1,0,64.2
699430,Fluminense,5,9,1,5,55.7
699430,Atlético-GO,7,17,2,4,44.3
699436,Athletico-PR,3,14,1,5,47.9
699436,Flamengo,6,9,1,2,52.1
699438,Corinthians,8,16,2,6,40.2
699438,São Paulo,7,12,2,6,59.8
699435,Vitória,4,11,2,4,39.4
699435,Internacional,5,15,1,2,60.6
699439,Criciúma,5,17,2,4,31.8
699439,Bahia,6,22,2,3,68.2
699431,Cuiabá,13,21,5,0,55.2
699431,Fortaleza,0,2,0,8,44.8
699432,Grêmio,4,15,1,3,45.3
699432,Botafogo,5,14,2,2,54.7
699433,Vasco da Gama,4,14,0,2,49.6
699433,Cruzeiro,2,8,0,4,50.4
699437,Atlético-MG,3,11,0,5,52.2
699437,Palmeiras,9,22,4,3,47.8
699440,Atlético-GO,1,12,1,5,50.0
699440,Criciúma,7,19,2,0,50.0
699441,Botafogo,1,8,1,5,62.0
699441,Athletico-PR,6,16,1,0,38.0
699449,Fortaleza,4,13,1,2,51.9
699449,Grêmio,2,8,0,3,48.1
699446,Juventude,5,14,2,2,54.5
699446,Vasco da Gama,2,6,0,3,45.5
699448,São Paulo,4,15,0,2,66.1
699448,Cuiabá,3,11,1,4,33.9
699442,Cruzeiro,5,17,2,4,34.9
699442,Fluminense,4,9,0,3,65.1
699444,Internacional,5,11,1,3,47.4
699444,Corinthians,3,13,0,4,52.6
699445,Vitória,6,12,4,5,38.7
699445,Atlético-MG,7,19,2,2,61.3
699443,Flamengo,3,14,2,2,34.6
699443,Bahia,3,8,1,1,65.4
699447,Palmeiras,7,24,2,2,41.1
699447,Red Bull Bragantino,3,13,1,5,58.9
699453,Criciúma,4,16,2,1,38.1
699453,Botafogo,2,11,1,2,61.9
699456,Grêmio,2,10,0,1,57.7
699456,Internacional,2,16,1,2,42.3
699454,Cuiabá,3,10,0,9,52.9
699454,Atlético-GO,9,18,0,3,47.1
699459,Vasco da Gama,7,14,4,1,41.0
699459,São Paulo,2,10,1,4,59.0
699450,Athletico-PR,7,20,1,5,54.4
699450,Corinthians,6,15,1,7,45.6
699452,Bahia,6,14,4,0,63.6
699452,Cruzeiro,1,7,1,2,36.4
699455,Fluminense,0,2,0,3,54.4
699455,Flamengo,4,14,1,0,45.6
699451,Atlético-MG,8,21,1,2,66.7
699451,Fortaleza,3,13,1,7,33.3
699457,Palmeiras,10,28,3,7,56.5
699457,Juventude,8,16,1,7,43.5
699458,Red Bull Bragantino,6,16,2,4,63.8
699458,Vitória,5,10,1,4,36.2
699462,Botafogo,4,12,2,5,48.9
699462,Red Bull Bragantino,6,13,1,2,51.1
699464,Cruzeiro,7,22,2,3,49.3
699464,Athletico-PR,3,14,0,5,50.7
699460,Atlético-GO,5,16,1,3,49.2
699460,Grêmio,4,11,1,4,50.8
699463,Corinthians,7,24,1,3,65.5
699463,Cuiabá,4,13,1,6,34.5
699468,Juventude,8,15,2,4,52.5
699468,Flamengo,5,9,1,7,47.5
699461,Bahia,8,17,2,2,62.8
699461,Vasco da Gama,3,9,1,6,37.2
699466,Fortaleza,6,12,3,7,31.9
699466,Palmeiras,7,17,0,3,68.1
699467,Internacional,6,13,1,3,46.2
699467,Atlético-MG,5,15,2,6,53.8
699465,Fluminense,5,12,0,5,63.6
699465,Vitória,6,9,1,5,36.4
699469,São Paulo,6,13,2,0,62.3
699469,Criciúma,2,10,1,4,37.7
699472,Cuiabá,2,5,1,4,33.8
699472,Red Bull Bragantino,5,14,1,1,66.2
699478,Vasco da Gama,2,10,1,5,53.8
699478,Botafogo,6,13,1,1,46.2
699474,Fortaleza,7,19,2,2,37.5
699474,Juventude,3,12,1,5,62.5
699475,Grêmio,9,16,1,3,47.3
699475,Fluminense,3,8,0,8,52.7
699477,São Paulo,4,10,3,5,40.6
699477,Bahia,6,15,1,1,59.4
699471,Criciúma,7,17,1,3,46.0
699471,Internacional,4,12,1,6,54.0
699473,Flamengo,3,7,2,4,46.0
699473,Cruzeiro,5,14,1,1,54.0
699479,Vitória,3,16,0,2,59.3
699479,Athletico-PR,2,7,1,3,40.7
699476,Palmeiras,10,20,2,4,49.2
699476,Corinthians,3,13,0,8,50.8
699485,Cuiabá,6,11,1,2,51.1
699485,Botafogo,4,6,2,5,48.9
699489,Criciúma,6,13,1,6,34.6
699489,Cruzeiro,6,17,0,5,65.4
699488,Vasco da Gama,9,19,2,4,59.4
699488,Fortaleza,4,10,0,7,40.6
699480,Athletico-PR,4,12,1,6,45.0
699480,São Paulo,8,13,2,3,55.0
699481,Atlético-MG,4,11,2,4,52.4
699481,Flamengo,8,14,4,2,47.6
699484,Red Bull Bragantino,5,13,3,5,51.7
699484,Atlético-GO,6,13,1,2,48.3
699482,Bahia,9,22,2,1,56.5
699482,Juventude,2,10,0,7,43.5
699487,Grêmio,5,14,2,3,39.9
699487,Palmeiras,5,21,2,2,60.1
699483,Corinthians,5,14,3,4,43.7
699483,Vitória,6,18,2,2,56.3
699486,Fluminense,3,8,1,3,54.8
699486,Internacional,4,12,1,2,45.2
699495,Flamengo,10,20,1,2,65.5
699495,Cuiabá,3,7,1,9,34.5
699490,São Paulo,4,14,2,3,59.5
699490,Red Bull Bragantino,3,10,0,2,40.5
699494,Cruzeiro,5,12,3,2,47.3
699494,Corinthians,2,15,0,2,52.7
699496,Fortaleza,6,19,1,3,42.0
699496,Fluminense,3,11,0,5,58.0
699498,Juventude,6,14,3,5,48.5
699498,Grêmio,5,13,0,3,51.5
699497,Internacional,6,14,1,4,64.8
699497,Vasco da Gama,6,8,2,5,35.2
699492,Atlético-GO,3,12,1,4,42.8
699492,Athletico-PR,6,17,2,2,57.2
699499,Palmeiras,4,12,2,3,44.3
699499,Bahia,3,13,0,2,55.7
699491,Vitória,3,9,2,1,44.8
699491,Criciúma,2,13,1,1,55.2
699493,Botafogo,8,19,3,2,57.3
699493,Atlético-MG,2,6,0,5,42.7
699504,Grêmio,3,8,0,4,44.6
