nome,espn_id,posicao,idade,altura,nacionalidade
Gatito Fernández,164262,GOLEIRO,36,1.96,Paraguai
John,233241,GOLEIRO,28,1.96,Brasil
Lucas Barreto,379234,GOLEIRO,22,,Brasil
Cristiano,381274,GOLEIRO,19,,Brasil
Igo Gabriel,306566,GOLEIRO,23,1.91,Brasil
Raul,233826,GOLEIRO,27,1.88,Brasil
Rafael,25409,DEFENSOR,34,1.73,Brasil
Lucas Halter,266281,DEFENSOR,24,1.88,Brasil
Mateo Ponte,359977,DEFENSOR,21,1.78,Uruguai
Alex Telles,199734,DEFENSOR,31,1.8,Brasil
Bastos,204602,DEFENSOR,33,1.83,Angola
Hugo,301595,DEFENSOR,23,1.75,Brasil
Alexander Barboza,222631,DEFENSOR,29,1.93,Argentina
Fernando Marçal,170362,DEFENSOR,35,1.75,Brasil
Vitinho,268700,DEFENSOR,25,1.75,Brasil
Pablo,202784,DEFENSOR,33,1.8,Brasil
Adryelson,218981,DEFENSOR,26,1.83,Brasil
Kawan,337129,DEFENSOR,21,1.88,Brasil
Cuiabano,334756,DEFENSOR,21,1.8,Brasil
Mohamed El Arouch,343330,MEIO-CAMPO,20,1.65,França
Kauan Lindes,379739,MEIO-CAMPO,20,,Brasil
Danilo,194929,MEIO-CAMPO,28,1.83,Brasil
Tchê Tchê,198302,MEIO-CAMPO,32,1.75,Brasil
Marlon Freitas,234016,MEIO-CAMPO,29,1.85,Brasil
Thiago Almada,277208,MEIO-CAMPO,23,1.7,Argentina
Kauê Rodrigues Pessanha,357363,MEIO-CAMPO,20,1.75,Brasil
Gregore,235893,MEIO-CAMPO,30,1.8,Brasil
Allan,143883,MEIO-CAMPO,33,1.75,Brasil
Carlos Eduardo,174782,MEIO-CAMPO,35,1.83,Brasil
Rhuan,381276,MEIO-CAMPO,20,,Brasil
Óscar Romero,192234,MEIO-CAMPO,32,1.75,Paraguai
Bernardo Valim,355366,MEIO-CAMPO,18,1.88,Brasil
Luiz Henrique,304215,ATACANTE,23,1.8,Brasil
Tiquinho Soares,202374,ATACANTE,33,1.83,Brasil
Jefferson Savarino,177219,ATACANTE,27,1.68,Venezuela
Júnior Santos,269843,ATACANTE,30,1.85,Brasil
Carlos Alberto,299928,ATACANTE,22,1.78,Brasil
Matheus Martins,314841,ATACANTE,21,1.78,Brasil
Jeffinho,301780,ATACANTE,24,1.75,Brasil
Kayke,381279,ATACANTE,18,,Brasil
Lucas Vargas,381280,ATACANTE,19,,Brasil
Yarlen Faustino Augusto,381139,ATACANTE,18,,Brasil
Rafael Lobato,361652,ATACANTE,18,1.7,Brasil
Fabiano,361658,ATACANTE,18,1.8,Brasil
Matheus Nascimento,304659,ATACANTE,20,1.83,Brasil
Igor Jesus,287869,ATACANTE,23,1.8,Brasil
Mateus Oliveira,307666,GOLEIRO,22,1.98,Brasil
Marcelo Lomba,201622,GOLEIRO,37,1.88,Brasil
Weverton,198983,GOLEIRO,36,1.88,Brasil
Aranha,382967,GOLEIRO,19,,Brasil
Deivid Andrade Soares,392257,GOLEIRO,19,1.96,Brasil
Marcos Rocha,185994,DEFENSOR,35,1.75,Brasil
Agustín Giay,315619,DEFENSOR,20,1.8,Argentina
Vanderlan,307933,DEFENSOR,22,1.83,Brasil
Mayke,178927,DEFENSOR,31,1.78,Brasil
Gustavo Gómez,118395,DEFENSOR,31,1.85,Paraguai
Joaquín Piquerez,254007,DEFENSOR,26,1.83,Uruguai
Murilo,252609,DEFENSOR,27,1.88,Brasil
Michel,318406,DEFENSOR,21,1.88,Brasil
Kaiky Naves,332351,DEFENSOR,22,1.8,Brasil
Arthur,382965,DEFENSOR,19,1.75,Brasil
Vitor Nunes,361434,DEFENSOR,18,1.85,Brasil
Gabriel Kidani,382964,DEFENSOR,18,1.68,Brasil
Gilberto,361454,DEFENSOR,19,1.65,Brasil
Luis Benedetti,361457,DEFENSOR,18,1.98,Brasil
Aníbal Moreno,286406,MEIO-CAMPO,25,1.78,Argentina
Zé Rafael,201660,MEIO-CAMPO,31,1.75,Brasil
Felipe Anderson,152812,MEIO-CAMPO,31,1.75,Brasil
Caio Paulista,95558,MEIO-CAMPO,26,1.8,Brasil
Mauricio,289046,MEIO-CAMPO,23,1.75,Brasil
Romulo,314545,MEIO-CAMPO,23,,Brasil
Raphael Veiga,236321,MEIO-CAMPO,29,1.78,Brasil
Gabriel Menino,301544,MEIO-CAMPO,24,1.78,Brasil
Richard Ríos,301520,MEIO-CAMPO,24,1.85,Colômbia
Fabinho,307934,MEIO-CAMPO,22,1.78,Brasil
Patrick Silva,361460,MEIO-CAMPO,20,1.88,Brasil
Vitor Figueiredo,392620,MEIO-CAMPO,18,1.73,Brasil
Silva,382968,MEIO-CAMPO,19,,Brasil
Rafael Coutinho,382963,MEIO-CAMPO,18,1.78,Brasil
Thalys,361458,MEIO-CAMPO,19,1.83,Brasil
Dudu,178349,ATACANTE,32,1.68,Brasil
Rony,236314,ATACANTE,29,1.68,Brasil
Bruno Nascimento,227737,ATACANTE,27,1.78,Brasil
Lázaro,289907,ATACANTE,22,1.8,Brasil
Riquelme,361433,ATACANTE,18,1.75,Brasil
Daniel Silva,339068,ATACANTE,20,1.8,Brasil
Estêvão,376481,ATACANTE,17,1.75,Brasil
José López,311743,ATACANTE,23,1.91,Argentina
Edney Henrique Santos Da Silva,373813,ATACANTE,20,1.75,Brasil
Allan,382966,ATACANTE,20,1.75,Brasil
Luighi Hanri,376480,ATACANTE,18,1.83,Brasil
Wendell Sacramento,382969,ATACANTE,19,,Brasil
João Ricardo,203685,GOLEIRO,36,1.85,Brasil
Magrão,308588,GOLEIRO,24,1.98,Brasil
Santos,153754,GOLEIRO,34,1.93,Brasil
Mauricio Kozlinski,169831,GOLEIRO,33,1.91,Brasil
Murilo D'Angelo,385196,GOLEIRO,20,1.85,Brasil
Tinga,200826,DEFENSOR,31,1.78,Brasil
Titi,95849,DEFENSOR,36,1.85,Brasil
Bruno Pacheco,236283,DEFENSOR,32,1.75,Brasil
Benjamín Kuscevic,204888,DEFENSOR,28,1.85,Chile
Jhonatan,97972,DEFENSOR,25,1.65,Brasil
Emanuel Britez,200206,DEFENSOR,32,1.78,Argentina
Tomás Cardona,212528,DEFENSOR,29,1.85,Argentina
Eros Mancuso,318082,DEFENSOR,25,1.7,Argentina
Felipe Jonatan,272437,DEFENSOR,26,1.73,Brasil
Arthur Barbosa,383007,DEFENSOR,18,1.78,Brasil
Guilherme,339867,DEFENSOR,19,,Brasil
Samuel Estevam,339868,DEFENSOR,19,,Brasil
Gustavo,359429,DEFENSOR,20,1.75,Brasil
Tomás Pochettino,215771,MEIO-CAMPO,28,1.78,Argentina
Emmanuel Martínez,218649,MEIO-CAMPO,30,1.7,Argentina
Calebe,304469,MEIO-CAMPO,24,1.73,Brasil
Matheus Rossetto,233217,MEIO-CAMPO,28,1.8,Brasil
José Welison,201793,MEIO-CAMPO,29,1.78,Brasil
Yago Pikachu,186832,MEIO-CAMPO,32,1.7,Brasil
Pedro Augusto,269653,MEIO-CAMPO,27,1.8,Brasil
Hércules,336622,MEIO-CAMPO,24,1.78,Brasil
Gabriel Cunha,383008,MEIO-CAMPO,19,1.75,Brasil
Fabrício Dias,368525,MEIO-CAMPO,20,,Brasil
Kaue,360304,MEIO-CAMPO,20,,Brasil
Michel Cavalcante,359432,MEIO-CAMPO,18,1.75,Brasil
Lucas Sasha,146169,MEIO-CAMPO,34,1.78,Brasil
Juan Martín Lucero,195743,ATACANTE,33,1.78,Argentina
Marinho,198392,ATACANTE,34,1.68,Brasil
Breno,236324,ATACANTE,28,1.75,Brasil
Moisés,304365,ATACANTE,28,1.78,Brasil
Alexsandro Amorim,358445,ATACANTE,19,1.73,Brasil
Iarley Barros,359431,ATACANTE,21,1.73,Brasil
Kauan,359193,ATACANTE,19,1.7,Brasil
Imanol Machuca,285040,ATACANTE,24,1.68,Argentina
Tavinho,383009,ATACANTE,20,1.7,Brasil
Landerson,359433,ATACANTE,17,1.68,Brasil
Kaiky,361625,ATACANTE,20,1.8,Brasil
Kervin Andrade,318207,ATACANTE,19,1.63,Venezuela
Renato Kayzer,227314,ATACANTE,28,1.78,Brasil
Agustín Rossi,215388,GOLEIRO,29,1.93,Argentina
Lucas Furtado Dos Santos,358241,GOLEIRO,19,,Brasil
Matheus Cunha,315201,GOLEIRO,23,1.8,Brasil
Dyogo,343843,GOLEIRO,20,1.8,Brasil
Caio Albado Barone,357201,GOLEIRO,18,1.96,Brasil
Gullermo Varela,188368,DEFENSOR,31,1.73,Uruguai
Léo Ortiz,252316,DEFENSOR,28,1.85,Brasil
Léo Pereira,145405,DEFENSOR,28,1.88,Brasil
Ayrton Lucas,203077,DEFENSOR,27,1.8,Brasil
Fabrício Bruno,236111,DEFENSOR,28,1.91,Brasil
Matías Viña,254032,DEFENSOR,26,1.75,Uruguai
David Luiz,98398,DEFENSOR,37,1.88,Brasil
Alex Sandro,125514,DEFENSOR,33,1.8,Brasil
Cleiton,329267,DEFENSOR,21,1.8,Brasil
José Welinton,338951,DEFENSOR,20,1.7,Brasil
Da Mata,371495,DEFENSOR,18,1.85,Brasil
Wesley França,332354,DEFENSOR,21,1.78,Brasil
João Victor Schlickmann Carbone,379318,DEFENSOR,19,,Brasil
Germano,382845,DEFENSOR,18,1.75,Brasil
Daniel Sales,357115,DEFENSOR,18,1.78,Brasil
Lucyan,379250,DEFENSOR,18,1.78,Brasil
Iago Teodoro Da Silva Nogueira,340588,DEFENSOR,19,1.8,Brasil
João Cunha,376479,DEFENSOR,17,1.88,Brasil
Ainoã Ricardo Silva Oliveira,379496,DEFENSOR,19,,Brasil
Erick Pulgar,202533,MEIO-CAMPO,30,1.88,Chile
Gerson,210135,MEIO-CAMPO,27,1.88,Brasil
Giorgian de Arrascaeta,179767,MEIO-CAMPO,30,1.73,Uruguai
Nicolás de la Cruz,251889,MEIO-CAMPO,27,1.68,Uruguai
