id_partida,jogador_1,jogador_2,tipo,minuto,descricao,id_time
699353,,,ENCERRAMENTO-2,90'+7',,
699353,Rodrigo Sam,,CARTAO-AMARELO,90'+6',,Juventude
699353,Yannick Bolasie,,CARTAO-AMARELO,90'+6',,Criciúma
699353,,Gabriel,FALTA-SOFRIDA,90'+5',,Juventude
699353,Yannick Bolasie,,FALTA-FEITA,90'+5',,Criciúma
699353,Gabriel,,CARTAO-AMARELO,90'+4',,Juventude
699353,Matheusinho,,GOL-PERDIDO,90'+3',CHUTE (pé esquerdo),Criciúma
699353,Miguel Trauco,,CARTAO-AMARELO,90'+2',por uma entrada perigosa,Criciúma
699353,Miguel Trauco,Fellipe Mateus,SUBSTITUICAO,86',, Criciúma
699353,Arthur Caike,Renato Kayzer,SUBSTITUICAO,86',, Criciúma
699353,Marcelinho,,GOL-PERDIDO,86',CHUTE (pé esquerdo),Juventude
699353,,Fellipe Mateus,FALTA-SOFRIDA,84',,Criciúma
699353,Gabriel Inocêncio,,FALTA-FEITA,84',,Juventude
699353,,Rildo,FALTA-SOFRIDA,79',,Juventude
699353,Fellipe Mateus,,FALTA-FEITA,79',,Criciúma
699353,,Thiaguinho,FALTA-SOFRIDA,79',,Juventude
699353,Barreto,,FALTA-FEITA,79',,Criciúma
699353,Matheusinho,Marquinhos Gabriel,SUBSTITUICAO,78',, Criciúma
699353,Yerson Candelo,Claudinho,SUBSTITUICAO,78',, Criciúma
699353,,Alisson,ESCANTEIO,76',, Juventude
699353,,Renato Kayzer,FALTA-SOFRIDA,75',,Criciúma
699353,Zé Marcos,,FALTA-FEITA,75',,Juventude
699353,Thiaguinho,,FALTA-FEITA,73',,Juventude
699353,,Barreto,FALTA-SOFRIDA,73',,Criciúma
699353,Thiaguinho,Caíque uma lesão,SUBSTITUICAO,73',, Juventude
699353,Rildo,Lucas Barbosa,SUBSTITUICAO,72',, Juventude
699353,Thiaguinho,,LESAO,71',,Juventude
699353,,Jádson,FALTA-SOFRIDA,70',,Juventude
699353,Barreto,,FALTA-FEITA,70',,Criciúma
699353,Caíque,Erick Farias ,IMPEDIMENTO,69',,Juventude
699353,Marquinhos Gabriel,,CARTAO-AMARELO,67',por uma entrada perigosa,Criciúma
699353,Marquinhos Gabriel,,FALTA-FEITA,67',,Criciúma
699353,,Caíque,FALTA-SOFRIDA,67',,Juventude
699353,Caíque,,FALTA-FEITA,66',,Juventude
699353,,Barreto,FALTA-SOFRIDA,66',,Criciúma
699353,Jean Carlos,Jádson depois de um contra-ataque,GOL,64',,Juventude
699353,Caíque,,CARTAO-AMARELO,64',,Juventude
699353,Zé Marcos,,GOL-PERDIDO,62',CHUTE (pé esquerdo),Juventude
699353,,Higor Meritão,ESCANTEIO,62',, Juventude
699353,,Claudinho,ESCANTEIO,61',, Juventude
699353,Lucas Barbosa,,GOL-PERDIDO,61',CABECEIO,Juventude
699353,Marcelinho,Nenê,SUBSTITUICAO,61',, Juventude
699353,Fellipe Mateus,,CARTAO-AMARELO,59',por tocar a bola com a mão,Criciúma
699353,Yannick Bolasie,Éder,SUBSTITUICAO,58',, Criciúma
699353,João Lucas,Erick Farias ,IMPEDIMENTO,57',,Juventude
699353,,Fellipe Mateus,FALTA-SOFRIDA,56',,Criciúma
699353,Gabriel Inocêncio,,FALTA-FEITA,56',,Juventude
699353,Erick Farias,,GOL-PERDIDO,56',CHUTE (pé direito),Juventude
699353,,Marquinhos Gabriel,FALTA-SOFRIDA,54',,Criciúma
699353,Jádson,,FALTA-FEITA,54',,Juventude
699353,,Fellipe Mateus,FALTA-SOFRIDA,51',,Criciúma
699353,Gabriel Inocêncio,,FALTA-FEITA,51',,Juventude
699353,,Zé Marcos,FALTA-SOFRIDA,49',,Juventude
699353,Barreto,,FALTA-FEITA,49',,Criciúma
699353,,,ENCERRAMENTO-1,45'+8',,
699353,,Jean Carlos,FALTA-SOFRIDA,45'+7',,Juventude
699353,Fellipe Mateus,,FALTA-FEITA,45'+7',,Criciúma
699353,Jean Carlos,,CARTAO-AMARELO,45'+7',por uma entrada perigosa,Juventude
699353,,Rodrigo,FALTA-SOFRIDA,45'+7',,Criciúma
699353,Jean Carlos,,FALTA-FEITA,45'+7',,Juventude
699353,,Éder,FALTA-SOFRIDA,45'+3',,Criciúma
699353,Jádson,,FALTA-FEITA,45'+3',,Juventude
699353,,Fellipe Mateus,FALTA-SOFRIDA,45',,Criciúma
699353,Nenê,,FALTA-FEITA,45',,Juventude
699353,,Fellipe Mateus,FALTA-SOFRIDA,43',,Criciúma
699353,Gabriel Inocêncio,,FALTA-FEITA,43',,Juventude
699353,,Fellipe Mateus,ESCANTEIO,42',, Juventude
699353,Alisson,Renato Kayzer ,IMPEDIMENTO,39',,Criciúma
699353,Éder,,FALTA-FEITA,38',,Criciúma
699353,,Caíque,FALTA-SOFRIDA,38',,Juventude
699353,Renato Kayzer,Marcelo Hermes com um passe de cabeça,GOL,36',,Criciúma
699353,,João Lucas,FALTA-SOFRIDA,34',,Juventude
699353,Éder,,FALTA-FEITA,34',,Criciúma
699353,Zé Marcos,,CARTAO-AMARELO,33',,Juventude
699353,,Éder,FALTA-SOFRIDA,33',,Criciúma
699353,Rodrigo Sam,,FALTA-FEITA,33',,Juventude
699353,João Lucas,,CARTAO-AMARELO,32',,Juventude
699353,Lucas Barbosa,,GOL-PERDIDO,31',CHUTE (pé esquerdo),Juventude
699353,Claudinho,Renato Kayzer ,IMPEDIMENTO,23',,Criciúma
699353,,Fellipe Mateus,FALTA-SOFRIDA,21',,Criciúma
699353,Caíque,,FALTA-FEITA,21',,Juventude
699353,Éder,,GOL-PERDIDO,20',CHUTE (pé direito),Criciúma
699353,Erick Farias,Gilberto uma lesão,SUBSTITUICAO,18',, Juventude
699353,Renato Kayzer,,GOL-PERDIDO,18',CABECEIO,Criciúma
699353,Gilberto,,LESAO,15',,Juventude
699353,Gilberto,,GOL-PERDIDO,15',CHUTE (pé direito),Juventude
699353,Caíque,Nenê ,IMPEDIMENTO,12',,Juventude
699353,Fellipe Mateus,Barreto ,IMPEDIMENTO,11',,Criciúma
699353,,Renato Kayzer,FALTA-SOFRIDA,11',,Criciúma
699353,João Lucas,,FALTA-FEITA,11',,Juventude
699353,Marcelo Hermes,,GOL-PERDIDO,9',CHUTE (pé direito),Criciúma
699353,,Fellipe Mateus,FALTA-SOFRIDA,8',,Criciúma
699353,Jean Carlos,,FALTA-FEITA,8',,Juventude
699353,Jádson,Nenê ,IMPEDIMENTO,4',,Juventude
699353,Lucas Barbosa,,GOL-PERDIDO,3',CHUTE (pé esquerdo),Juventude
699356,,,ENCERRAMENTO-2,90'+7',,
699356,Carlos de Pena,,CARTAO-AMARELO,90'+6',,Bahia
699356,Everaldo,,GOL-PERDIDO,90'+6',CHUTE (pé direito),Bahia
699356,Gabriel Mercado,,CARTAO-AMARELO,90'+4',,Internacional
699356,Everaldo,,CARTAO-AMARELO,90'+4',,Bahia
699356,,Sergio Rochet,FALTA-SOFRIDA,90'+4',,Internacional
699356,Everaldo,,FALTA-FEITA,90'+4',,Bahia
699356,Fabricio Bustos,,CARTAO-AMARELO,90'+3',por uma entrada perigosa,Internacional
699356,Fabricio Bustos,,FALTA-FEITA,90'+3',,Internacional
699356,,Biel,FALTA-SOFRIDA,90'+3',,Bahia
699356,Luciano Juba,Biel ,IMPEDIMENTO,90'+2',,Bahia
699356,,Lucas Alario,ESCANTEIO,90',, Bahia
699356,Rafael Borré,,FALTA-FEITA,90',,Internacional
