espn_id,local_,estadio,campeonato,arbitro,data_,horario,audiencia
699353,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Bruno Pereira Vasconcelos, 13 de abril,17:30,12408
699356,"Porto Alegre, Brasil ",Estadio Beira-Rio,2024 Brasileiro Serie A ,Rodrigo Jose Pereira De Lima, 13 de abril,17:30,28511
699355,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Maguielson Lima Barbosa, 13 de abril,20:00,17645
699357,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Alex Gomes Stefano, 13 de abril,20:00,35055
699350,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,Jonathan Pinheiro, 14 de abril,15:00,21388
699351,"Goiãnia, Brasil ",Estádio Serra Dourada,2024 Brasileiro Serie A ,André Luis Skettino Policarpo Bento, 14 de abril,15:00,35195
699352,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Yuri Elino Ferreira Da Cruz, 14 de abril,15:00,44285
699358,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 14 de abril,15:00,18055
699354,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 14 de abril,16:00,20701
699359,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 14 de abril,17:30,30644
699361,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,João Vitor Gobi, 16 de abril,20:30,22893
699366,"Porto Alegre, Brasil ",Grêmio Arena,2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 17 de abril,18:00,13236
699369,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 17 de abril,18:00,5448
699360,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Paulo Belence Alves Dos Prazeres Filho, 17 de abril,19:00,24613
699365,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Bruno Mota Correia, 17 de abril,19:00,22131
699367,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 17 de abril,19:00,7478
699368,"Barueri, Brasil ",Arena Barueri,2024 Brasileiro Serie A ,Lucas Paulo Torezin, 17 de abril,19:00,13464
699364,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,"Daronco, Anderson", 17 de abril,20:30,48103
699362,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Luiz Flavio de Oliveira, 18 de abril,20:30,8508
